chain,chain_id,intended_size,burst_seq,trace_id,queue_id,batch_id,final_status,deployed_address,tx_hash,latency_seconds,submitted_at
sepolia,11155111,3,0,02bb09d8-8f07-4c9b-b7e0-a12b4b785300,206b5f8d-5738-4213-9ebd-46de7f664508,2e547e22-4c5a-4f2d-a4ee-f2a6034b82ab,success,0x510017F2D841712F5c7B52138e841e63ef2417ed,0x826d92820ca850c8204e451bfdf274feae1eaaa3114a0a71134957747ebe1df3,23.9,2026-06-30T07:33:37.032Z
sepolia,11155111,3,0,f93dac3e-339e-4c3b-a7ac-a2f18733daf2,97fc9e88-3bf6-48e6-8df1-9a9010d3dc46,2e547e22-4c5a-4f2d-a4ee-f2a6034b82ab,success,0x510017F2D841712F5c7B52138e841e63ef2417ed,0x826d92820ca850c8204e451bfdf274feae1eaaa3114a0a71134957747ebe1df3,41.5,2026-06-30T07:33:37.036Z
sepolia,11155111,3,0,467b41dd-63ca-4b75-a4ad-a5cb7c9e0514,ded05877-b413-40dc-8537-2db77c0e2802,2e547e22-4c5a-4f2d-a4ee-f2a6034b82ab,success,0x510017F2D841712F5c7B52138e841e63ef2417ed,0x826d92820ca850c8204e451bfdf274feae1eaaa3114a0a71134957747ebe1df3,26.6,2026-06-30T07:33:37.035Z
