chain,chain_id,symbol,n_submitted,n_success,n_failed,deposit_before,deposit_after,spent,cost_per_op,projected_for_target,current_deposit,covers_target,recommended_topup
sepolia,11155111,ETH,10,10,0,1.044319360824445551,1.032581952836367517,0.011737407988078034,0.001173740798807803,1.173740798807803,1.032581952836367517,false,0.728029245375336983
amoy,80002,POL,10,10,0,48.662728476002901628,48.651892305934633757,0.010836170068267871,0.001083617006826787,1.083617006826787,48.651892305934633757,true,0.0
opsepolia,11155420,ETH,10,10,0,2.018716097965529966,2.008225087703254716,0.01049101026227525,0.001049101026227525,1.049101026227525,2.008225087703254716,true,0.0
basesepolia,84532,ETH,10,10,0,2.456132780563112901,2.445636525058112901,0.010496255505,0.0010496255505,1.0496255505,2.445636525058112901,true,0.0
avaxfuji,43113,AVAX,10,10,0,1.329794039425985033,1.319303029424935932,0.010491010001049101,0.00104910100010491,1.04910100010491,1.319303029424935932,true,0.254348470732429068
bnbtestnet,97,tBNB,10,10,0,0.50543807,0.49494706,0.01049101,0.001049101,1.049101,0.49494706,false,1.07870444
celosepolia,11142220,CELO,10,10,0,8.226350794161935477,8.194878964161935477,0.03147183,0.003147183,3.147183,8.194878964161935477,true,0.0
